CDT  ID  PT  WT  TID
0:17  2  0:1  0:13  7
0:18  4  0:10  0:4  7
1:2  6  0:16  0:5  5
1:9  5  0:14  0:16  8
1:9  3  0:2  0:19  5
1:11  7  0:20  0:10  8
1:13  1  0:0  1:9  1
1:19  8  1:1  0:14  7
2:0  9  1:4  0:11  7
2:1  10  1:5  0:4  1
2:18  11  1:16  0:19  6
2:22  13  2:4  0:7  6
2:22  16  2:7  0:7  2
2:22  17  2:10  0:7  5
3:2  18  2:12  0:8  8
3:2  12  2:1  0:13  2
3:3  15  2:6  0:14  8
3:4  14  2:5  0:12  5
3:12  19  2:15  0:17  3
3:15  20  2:20  0:12  3
3:22  21  2:23  0:16  6
3:23  23  3:3  0:12  4
4:2  24  3:5  0:10  6
4:3  22  3:1  0:14  4
4:14  25  3:6  0:23  1
4:14  26  3:7  0:22  1
4:22  27  3:15  1:0  2
4:22  28  3:20  0:19  2
Cargos: 28[N: 12, S: 8, V: 8]
Cargo Avg Wait = 0:13
Trucks: 8[N: 4, S: 2, V: 2]
Avg Active Time = 26%
Avg Utilization = 26%
