CDT  ID  PT  WT  TID
0:21  5  0:2  0:16  9
0:22  8  0:4  0:14  9
1:4  2  0:1  0:17  9
1:16  6  0:3  1:9  5
1:18  11  0:6  1:6  5
1:18  17  0:11  1:1  5
1:19  1  0:1  1:11  5
1:19  13  0:8  1:4  5
1:22  7  0:4  1:13  10
2:0  4  0:2  1:15  10
2:1  14  0:9  1:9  1
2:2  16  0:11  1:7  1
2:3  9  0:4  1:13  10
2:4  3  0:1  1:17  1
2:10  10  0:6  1:12  1
2:10  12  0:7  1:11  1
2:21  15  0:11  2:3  11
2:23  31  2:6  0:14  12
2:23  28  2:3  0:17  12
2:23  18  0:12  2:2  11
3:0  24  1:12  1:2  11
3:1  27  2:1  0:20  2
3:2  26  1:18  1:3  2
3:3  23  1:9  1:11  12
3:3  19  1:1  1:20  2
3:4  22  1:6  1:15  2
3:10  20  1:4  1:17  2
3:16  32  2:11  1:1  6
3:17  34  2:17  0:20  9
3:18  33  2:15  0:21  6
3:19  25  1:14  1:22  6
3:19  29  2:5  1:7  6
3:20  21  1:5  2:7  6
3:21  35  2:19  0:18  9
3:22  30  2:6  1:7  9
4:17  52  4:2  0:12  10
4:20  44  3:12  1:2  10
4:20  41  3:11  1:3  10
4:21  43  3:11  1:7  7
4:22  45  3:13  1:2  3
4:23  37  3:0  1:18  7
4:23  42  3:11  1:4  3
5:0  40  3:9  1:9  7
5:1  39  3:8  1:10  7
5:1  49  3:23  0:19  7
5:2  38  3:7  1:8  3
5:4  36  2:23  1:16  3
5:4  46  3:15  1:0  3
5:14  50  3:23  1:12  4
5:15  51  4:0  1:11  4
5:15  53  4:3  1:8  4
5:20  47  3:19  1:16  4
6:0  48  3:19  1:16  4
Cargos: 53[N: 20, S: 15, V: 18]
Cargo Avg Wait = 1:7
Trucks: 12[N: 4, S: 4, V: 4]
Avg Active Time = 24%
Avg Utilization = 24%
