CDT  ID  PT  WT  TID
0:22  4  0:10  0:8  3
1:0  6  0:16  0:5  2
1:1  2  0:1  0:17  3
1:3  3  0:2  0:19  2
1:13  1  0:0  1:10  3
1:14  5  0:14  0:18  1
1:14  7  0:20  0:12  1
1:18  10  1:5  0:5  3
2:5  9  1:4  0:16  2
2:8  8  1:1  0:19  2
2:21  16  2:7  0:7  1
3:0  12  2:1  0:13  1
3:1  18  2:12  0:8  3
3:3  15  2:6  0:14  3
3:15  11  1:16  1:19  2
3:17  13  2:4  1:7  2
3:23  23  3:3  0:15  3
4:1  25  3:6  0:12  3
4:2  19  2:15  1:7  1
4:3  20  2:20  1:2  1
4:22  27  3:15  1:0  2
4:22  29  3:23  0:16  2
5:1  26  3:7  1:10  1
5:3  22  3:1  1:16  1
5:14  28  3:20  1:12  3
5:14  30  4:0  1:8  3
5:23  14  2:5  3:12  2
6:4  17  2:10  3:7  2
7:2  21  2:23  3:23  2
7:4  24  3:5  3:17  2
Cargos: 30[N: 10, S: 8, V: 12]
Cargo Avg Wait = 1:5
Trucks: 3[N: 1, S: 1, V: 1]
Avg Active Time = 51%
Avg Utilization = 51%
